TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-W,52.794,5.437,0.391,0.126,37.42,1.962,0.0,75.593,23.194,765.341,0.385,fluid,41.645,30.284,17.086,10.956,12.617,0.916,106.148
Type-N,45.896,5.464,0.265,0.331,41.18,5.771,0.0,82.208,14.11,927.002,1.14,fix,55.328,22.839,20.77,1.34,0.0,1.719,85.774
Type-D,41.528,4.846,0.214,0.0,51.249,2.492,11.29,85.601,14.347,685.833,0.771,fluid,47.626,20.918,21.92,9.394,75.401,0.712,208.279
Type-F,49.292,6.859,1.039,0.101,44.058,1.524,11.101,80.155,13.697,732.846,1.154,fluid,71.883,8.968,7.474,11.958,13.948,0.846,100.428
Type-M,51.35,5.984,0.244,0.0,45.135,0.499,10.686,76.411,15.54,891.807,0.648,fluid,49.001,20.796,22.639,8.089,14.225,1.209,105.498
Type-O,49.285,5.612,0.038,0.0,46.357,0.565,9.448,79.91,18.624,894.541,1.407,fix,33.679,41.664,14.199,10.518,253.696,0.795,6.672
Type-V,53.951,6.913,0.853,0.487,35.419,7.19,10.309,74.849,16.693,817.456,0.773,fix,49.814,22.859,15.781,11.708,8.099,1.219,99.923
Type-V,55.956,6.632,0.802,0.526,34.071,6.409,8.946,77.467,14.308,761.06,3.567,fix,52.021,15.377,27.072,5.108,2.792,1.287,100.505
Type-I,49.862,6.846,1.088,0.21,32.368,10.187,9.629,69.906,15.493,927.276,1.406,fix,50.354,18.835,26.221,4.824,12.336,2.631,25.769
Type-J,46.718,7.599,0.176,0.096,39.594,8.404,0.0,87.7,4.772,683.188,0.703,fix,19.122,22.781,26.684,31.4,12.253,0.427,97.823
Type-K,48.858,5.182,0.61,0.01,37.935,7.803,0.0,66.578,22.691,846.512,0.399,fix,41.006,24.512,22.06,12.402,12.25,0.682,216.017
Type-F,50.004,6.192,1.012,0.104,46.693,1.569,11.449,70.837,15.807,822.033,1.082,fluid,55.63,20.425,15.26,8.139,11.68,1.374,91.372
Type-A,36.414,4.726,0.247,0.0,44.885,15.056,9.981,69.894,17.485,759.548,0.852,fluid,55.709,18.8,19.34,6.272,46.296,0.787,145.731
Type-H,51.403,5.965,0.97,0.261,42.289,4.342,8.805,82.651,13.139,625.045,1.736,fluid,82.753,4.338,1.167,10.131,12.235,1.333,24.329
Type-O,48.658,6.195,0.038,0.0,44.252,0.605,9.853,82.266,18.016,879.748,1.416,fix,39.522,34.185,17.297,8.911,142.479,0.969,4.601
Type-O,50.301,6.329,0.036,0.0,46.411,0.559,8.878,84.271,18.063,865.451,1.246,fix,30.323,39.538,17.986,12.167,259.555,0.702,6.497
Type-W,50.47,5.551,0.445,0.118,40.977,1.935,0.0,74.696,23.614,750.366,1.143,fluid,51.053,19.176,23.435,6.127,12.71,0.964,95.027
Type-F,50.599,6.735,0.91,0.12,45.455,1.542,12.158,71.805,14.772,769.511,1.393,fluid,58.599,15.109,17.574,8.034,8.486,1.217,102.699
Type-F,42.925,5.891,1.094,0.1,50.641,1.617,12.294,77.96,14.583,808.644,1.196,fluid,59.751,15.042,17.035,8.017,12.949,1.159,105.232
Type-S,55.288,6.56,0.1,0.0,44.437,0.479,0.0,87.308,12.534,509.76,0.892,fix,7.857,38.184,41.177,12.735,13.69,0.142,102.723
Type-F,47.722,6.169,0.978,0.109,44.313,1.65,11.294,76.039,16.65,806.492,2.154,fluid,60.003,14.117,17.632,8.06,6.634,1.06,108.343
Type-Q,49.391,6.952,0.166,0.193,44.217,0.35,5.466,78.422,18.043,828.735,0.955,fluid,51.809,21.952,18.52,8.009,14.894,1.722,96.062
Type-V,58.013,6.066,0.788,0.477,32.066,6.891,8.721,80.437,14.94,812.57,1.163,fix,51.758,19.132,21.678,7.562,0.766,1.37,98.863
Type-I,51.636,6.378,1.234,0.238,34.444,9.166,9.398,60.933,16.322,879.908,1.782,fix,49.566,19.035,26.376,4.852,11.923,2.534,24.557
Type-C,35.341,5.799,1.041,0.094,42.065,11.908,0.0,70.949,9.709,686.977,1.103,fix,45.509,29.613,17.718,7.051,12.692,0.583,106.846
Type-D,42.094,4.933,0.201,0.0,55.534,2.324,11.829,78.608,13.578,655.099,0.681,fluid,46.995,21.101,22.019,9.437,68.561,0.693,202.917
Type-O,49.531,5.937,0.04,0.0,43.982,0.569,9.85,77.836,17.203,950.0,0.116,fix,30.42,51.681,7.337,10.481,139.861,0.81,10.11
Type-F,48.754,5.744,1.082,0.096,45.424,1.731,12.295,77.194,16.248,866.178,1.266,fluid,51.838,25.42,14.16,8.091,12.254,1.512,105.36
Type-K,47.438,5.215,0.639,0.01,38.425,7.416,0.0,71.701,24.15,836.94,0.575,fix,40.307,24.226,23.768,11.627,12.509,0.697,222.747
Type-C,39.691,4.626,0.955,0.09,41.712,13.095,0.0,79.222,10.474,880.012,1.126,fix,44.635,17.499,28.787,8.941,12.463,1.042,102.651
Type-N,52.534,5.48,0.246,0.33,38.853,5.531,0.0,80.581,14.576,894.232,0.387,fix,41.266,42.825,13.422,2.466,6.701,0.93,138.905
Type-B,37.891,5.359,0.333,0.0,44.979,14.317,8.325,60.316,20.316,792.266,0.677,fluid,52.799,22.378,18.844,6.112,19.594,1.064,61.753
Type-W,51.629,5.419,0.406,0.114,38.281,1.759,0.0,81.878,22.399,743.838,1.096,fluid,50.923,19.208,23.458,6.134,12.675,1.08,97.982
Type-U,54.827,5.72,0.193,0.105,41.126,0.469,8.271,82.078,17.094,765.702,0.834,fluid,26.637,45.359,13.751,14.28,10.085,0.612,103.932
Type-F,47.863,6.338,0.989,0.11,47.839,1.605,10.443,76.484,14.944,829.161,1.346,fluid,59.902,14.892,17.384,7.947,6.694,1.251,108.516
Type-D,39.215,5.397,0.206,0.0,54.834,2.212,10.821,84.867,13.304,707.064,0.715,fluid,48.062,20.791,21.852,9.365,76.116,0.732,189.604
Type-I,49.85,6.579,1.216,0.237,36.002,9.509,10.199,63.019,16.162,900.965,2.53,fix,48.045,16.546,32.996,2.42,12.037,1.235,112.432
Type-N,48.483,5.428,0.276,0.319,41.69,5.541,0.0,82.095,15.999,872.42,0.262,fix,38.687,48.389,12.251,0.617,15.382,0.795,157.026
Type-N,49.688,5.448,0.249,0.339,41.053,5.803,0.0,80.022,13.381,874.03,0.43,fix,40.988,43.017,13.433,2.468,6.866,0.943,146.179
Type-D,41.308,5.429,0.202,0.0,48.39,2.333,11.836,84.724,14.326,806.886,0.697,fluid,53.367,22.409,17.368,7.152,32.72,0.957,168.211
Type-F,49.364,6.506,0.959,0.112,48.074,1.512,11.81,75.836,14.19,705.487,1.306,fluid,71.068,9.036,7.53,12.048,13.112,0.765,104.548
Type-G,46.644,4.57,8.821,0.0,36.487,1.23,8.145,70.79,18.159,835.856,0.536,fluid,43.853,33.072,11.685,11.486,42.153,1.665,94.633
Type-F,44.886,6.42,0.985,0.12,49.639,1.687,12.459,73.413,15.381,778.468,1.599,fluid,58.794,15.077,17.546,8.021,7.847,1.257,108.113
Type-W,52.443,4.769,0.438,0.122,37.23,1.888,0.0,69.363,24.741,753.768,1.051,fluid,51.122,19.159,23.423,6.124,13.26,0.975,99.636
Type-F,45.044,6.074,1.001,0.116,49.634,1.68,11.599,71.538,14.874,850.526,1.087,fluid,57.853,17.777,16.83,7.92,8.067,1.057,101.644
Type-V,49.855,5.955,0.7,0.48,33.49,7.238,9.113,78.07,15.149,789.714,1.328,fix,56.064,17.633,21.142,5.034,0.219,1.616,106.562
Type-P,50.776,5.845,0.383,0.095,42.77,0.291,0.0,80.982,16.548,745.591,0.563,fluid,39.332,30.505,17.706,12.327,12.765,0.962,93.374
Type-K,49.536,5.07,0.584,0.01,35.711,7.61,0.0,66.184,22.001,824.334,0.707,fix,40.127,24.298,23.794,11.639,12.677,0.662,229.637
Type-V,52.854,7.341,0.851,0.443,33.628,7.629,8.715,79.658,15.178,779.422,0.712,fix,49.108,23.077,15.858,11.766,8.481,1.285,97.874
Type-D,44.421,4.903,0.193,0.0,51.65,2.525,11.132,80.982,13.909,738.79,1.041,fluid,52.584,22.632,18.493,6.164,46.986,0.907,184.19
Type-F,49.261,6.483,1.007,0.108,41.815,1.629,11.844,75.096,17.128,907.239,1.222,fluid,52.544,25.195,14.091,8.052,12.89,1.424,100.217
Type-N,48.248,5.786,0.241,0.324,37.233,5.318,0.0,82.04,14.495,828.711,0.924,fix,48.662,15.046,33.596,2.957,32.745,1.409,140.814
Type-C,37.387,5.705,0.934,0.088,43.225,13.391,0.0,75.935,9.795,720.845,1.001,fix,46.173,29.327,17.651,7.024,12.233,0.586,103.381
Type-V,51.534,6.391,0.858,0.478,33.834,6.905,9.469,75.489,14.394,806.031,1.035,fix,34.885,24.273,25.956,14.911,39.605,0.771,103.864
Type-J,49.643,6.961,0.172,0.091,36.766,7.259,0.0,87.4,5.238,500.0,1.114,fix,22.424,24.213,25.791,27.553,13.742,0.111,104.558
Type-M,45.141,6.724,0.239,0.0,46.78,0.501,11.075,78.872,15.233,849.09,0.832,fluid,48.261,21.013,22.757,8.131,13.459,1.142,100.733
Type-F,44.699,6.19,0.958,0.118,44.19,1.544,12.068,76.849,15.321,833.107,1.582,fluid,59.988,14.878,17.371,7.941,6.573,1.217,95.674
Type-F,43.251,6.349,1.092,0.11,44.673,1.59,11.476,78.976,15.136,805.519,1.35,fluid,59.385,14.978,17.459,7.981,6.713,1.3,112.854
Type-N,53.383,5.379,0.246,0.34,38.852,5.866,0.0,73.443,13.698,823.558,1.224,fix,48.568,15.065,33.62,2.959,29.582,1.341,168.257
Type-V,50.199,6.133,0.845,0.483,36.322,7.426,8.963,74.747,16.682,830.966,0.743,fix,50.064,22.781,15.754,11.688,7.986,1.228,102.542
Type-S,45.611,6.247,0.107,0.0,42.037,0.522,0.0,87.596,14.368,716.332,1.501,fix,36.665,30.855,21.896,10.658,11.993,0.552,111.358
Type-O,48.17,5.878,0.038,0.0,42.257,0.56,9.391,78.494,17.003,935.039,1.423,fix,40.255,33.766,17.243,8.883,142.754,0.937,4.456
Type-F,39.653,6.201,1.136,0.103,39.392,1.635,13.295,76.909,14.983,777.617,0.945,fluid,64.19,12.974,13.977,8.985,12.503,0.828,94.972
Type-B,38.263,5.225,0.327,0.0,41.507,14.681,8.22,66.881,19.602,692.081,0.781,fluid,46.159,29.013,16.858,7.902,55.501,0.733,111.897
Type-N,50.777,5.857,0.262,0.331,39.736,5.467,0.0,77.07,14.708,820.784,1.128,fix,48.518,15.076,33.634,2.96,29.95,1.139,148.117
Type-O,49.339,5.525,0.038,0.0,43.154,0.591,10.025,86.396,18.644,842.328,1.388,fix,34.826,39.754,14.818,10.584,256.192,0.802,6.302
Type-F,44.165,6.495,0.962,0.111,45.285,1.544,11.814,68.65,14.365,843.828,1.773,fluid,60.523,14.416,17.424,7.965,6.58,1.119,97.138
Type-R,49.668,6.483,0.158,0.211,42.682,0.326,5.076,81.794,16.464,833.395,1.175,fluid,42.977,30.698,19.096,7.429,1.298,1.076,180.098
Type-V,46.9,7.092,0.874,0.519,31.59,7.648,9.222,72.813,14.619,754.517,0.654,fix,48.646,23.22,15.909,11.804,7.848,1.263,101.574
Type-R,53.151,6.737,0.172,0.22,42.569,0.347,4.567,72.072,16.23,810.911,0.48,fluid,39.808,34.263,15.558,10.422,2.503,0.803,228.877
Type-V,52.259,7.003,0.748,0.463,34.109,6.394,9.426,72.945,16.568,697.664,1.272,fix,33.812,30.79,19.49,15.9,1.873,1.019,108.686
Type-V,51.719,6.257,0.765,0.519,33.514,7.569,9.477,72.935,14.959,813.571,1.387,fix,56.568,17.528,21.058,5.014,0.236,1.678,106.778
Type-M,45.847,6.487,0.234,0.0,43.846,0.566,10.173,78.412,16.231,857.524,0.906,fluid,48.407,20.97,22.733,8.123,13.389,1.216,104.383
Type-R,49.101,6.525,0.16,0.191,42.571,0.339,5.421,77.385,15.31,790.209,0.41,fluid,39.5,34.441,15.578,10.435,2.902,0.891,253.163
Type-F,44.946,6.761,1.003,0.112,48.744,1.651,11.768,75.268,15.511,691.067,1.689,fluid,70.638,9.072,7.56,12.096,14.182,0.777,112.42
Type-V,54.427,7.178,0.863,0.487,34.915,7.195,10.146,77.04,15.086,793.965,2.105,fix,54.192,17.285,24.389,4.065,0.824,1.514,104.79
Type-C,39.917,5.563,0.918,0.089,41.004,12.465,0.0,76.146,9.988,512.149,1.126,fix,16.771,52.623,21.86,8.652,12.504,0.154,103.492
Type-V,52.795,6.447,0.765,0.516,32.766,7.486,8.972,75.695,16.243,846.589,0.932,fix,58.929,16.513,22.013,2.501,0.183,1.713,103.72
Type-J,45.843,7.493,0.18,0.095,40.559,7.39,0.0,83.887,5.451,858.677,1.263,fix,21.264,23.922,26.096,28.681,11.998,0.935,106.718
Type-N,44.641,5.251,0.269,0.349,41.052,5.455,0.0,73.754,14.971,913.986,0.787,fix,53.687,26.191,17.968,2.288,0.0,1.193,100.979
Type-Q,47.909,6.48,0.158,0.187,40.769,0.351,5.229,82.884,18.003,805.227,1.124,fluid,51.357,22.082,18.58,8.034,16.159,1.539,104.399
Type-V,51.926,6.855,0.847,0.49,32.219,7.06,9.433,74.969,15.058,697.419,1.366,fix,33.809,30.792,19.49,15.9,1.887,1.038,101.451
Type-M,49.191,6.459,0.239,0.0,37.837,0.5,10.207,76.619,14.746,786.473,0.934,fluid,47.614,20.141,23.774,8.095,11.801,1.317,84.387
Type-O,50.023,6.22,0.042,0.0,45.59,0.569,9.323,82.528,17.889,879.221,2.825,fix,42.193,31.232,18.681,7.784,139.562,1.109,3.455
Type-U,52.391,5.846,0.215,0.101,41.064,0.436,7.927,86.247,16.057,803.858,1.265,fluid,27.023,44.93,13.757,14.286,9.953,0.625,101.095
Type-O,48.958,6.638,0.04,0.0,46.655,0.53,9.457,87.289,18.211,911.09,1.318,fix,39.938,33.948,17.267,8.895,143.365,1.007,4.333
Type-D,44.424,5.645,0.206,0.0,56.583,2.402,11.527,88.971,14.075,715.718,0.653,fluid,48.239,20.74,21.825,9.354,68.026,0.717,190.692
Type-F,45.902,6.182,1.143,0.111,44.356,1.572,11.905,76.492,13.593,860.062,1.256,fluid,56.372,20.248,15.174,8.093,13.52,1.43,109.928
Type-N,47.429,5.532,0.238,0.347,42.237,5.732,0.0,78.424,13.521,708.136,1.045,fix,36.346,12.049,40.695,10.958,101.514,0.829,182.425
Type-A,35.151,5.077,0.252,0.0,44.462,15.45,10.099,62.143,17.426,746.215,0.85,fluid,55.413,18.867,19.384,6.287,44.435,0.769,152.676
Type-T,50.617,5.834,0.196,0.0,42.721,0.214,6.404,91.948,13.375,830.358,1.447,fluid,46.734,22.192,21.518,9.401,2.861,1.409,105.413
Type-F,39.659,6.364,1.022,0.113,44.867,1.444,11.401,80.77,14.152,827.148,0.877,fluid,57.364,17.879,16.895,7.951,9.551,1.095,100.773
Type-R,53.577,7.094,0.162,0.188,42.496,0.367,5.165,76.904,17.472,775.963,1.012,fluid,42.503,30.965,18.066,8.317,1.452,0.917,187.966
Type-F,43.636,6.119,1.065,0.109,45.344,1.608,10.165,83.359,14.23,854.691,1.212,fluid,60.762,14.873,16.893,7.95,12.854,1.07,100.237
Type-N,44.074,5.683,0.235,0.352,39.478,5.371,0.0,78.274,14.956,682.884,1.298,fix,35.954,12.136,40.819,10.992,94.588,0.906,192.294
Type-U,49.861,5.717,0.189,0.107,41.276,0.399,8.085,80.512,14.635,760.894,1.253,fluid,26.588,45.413,13.751,14.279,10.176,0.593,95.329
Type-K,50.787,5.32,0.636,0.01,40.596,7.273,0.0,70.827,21.896,884.629,0.689,fix,40.988,23.955,23.67,11.579,12.586,0.754,193.048
Type-V,48.833,6.336,0.838,0.471,34.337,7.285,8.534,74.894,16.277,783.107,0.734,fix,49.176,23.056,15.851,11.76,7.627,1.231,104.766
Type-V,56.13,7.028,0.813,0.48,31.85,7.306,9.535,82.953,15.86,785.062,1.492,fix,51.227,19.264,21.764,7.592,0.703,1.474,97.29
Type-N,46.818,5.587,0.249,0.348,38.75,5.533,0.0,78.231,15.141,936.418,1.214,fix,55.5,22.791,20.744,1.339,0.0,1.718,87.931
Type-P,51.471,5.936,0.352,0.1,44.416,0.263,0.0,80.207,17.756,796.455,0.468,fluid,28.388,41.213,13.688,16.714,12.662,1.043,106.364
Type-M,53.35,5.592,0.256,0.0,43.682,0.451,11.231,76.257,16.32,804.964,1.046,fluid,47.937,20.052,23.718,8.076,13.342,1.148,90.112
Type-N,50.561,5.068,0.265,0.344,38.722,5.68,0.0,72.804,14.755,926.498,0.273,fix,39.39,47.811,12.236,0.616,14.105,0.727,134.332
Type-D,42.745,4.982,0.187,0.0,50.827,2.288,10.817,84.576,13.599,777.817,0.832,fluid,53.408,22.397,18.384,6.128,45.478,0.855,194.207
Type-Q,49.343,6.523,0.156,0.183,39.687,0.361,5.389,79.301,17.257,738.008,0.926,fluid,51.831,18.794,16.895,12.919,18.989,1.247,93.894
Type-C,36.144,5.29,0.97,0.09,41.053,13.014,0.0,74.603,10.259,897.914,0.837,fix,44.903,17.43,28.73,8.923,13.763,1.078,95.746
Type-S,53.799,5.935,0.111,0.0,44.622,0.544,0.0,79.465,13.11,520.743,0.925,fix,7.908,38.016,41.225,12.749,12.615,0.142,95.764
Type-A,35.109,5.059,0.259,0.0,43.37,16.391,10.022,66.577,17.155,662.677,0.774,fluid,43.257,25.29,22.246,9.312,79.294,0.557,227.071
Type-V,51.579,6.642,0.819,0.491,33.012,7.414,9.136,71.293,16.704,814.115,1.042,fix,34.991,24.224,25.941,14.902,41.341,0.73,105.931
Type-P,47.463,5.355,0.409,0.093,39.698,0.287,0.0,86.364,16.284,784.678,0.341,fluid,28.259,41.34,13.688,16.714,12.615,0.897,107.094
Type-C,39.181,5.613,1.042,0.089,41.271,12.999,0.0,79.639,9.507,882.682,1.297,fix,44.675,17.489,28.778,8.938,12.881,1.051,101.019
Type-I,50.152,6.703,1.396,0.219,35.782,9.038,9.681,55.518,17.263,924.983,2.025,fix,55.065,17.721,24.682,2.79,13.553,1.601,40.353
Type-I,46.465,7.034,1.125,0.229,34.62,9.13,10.063,65.281,17.351,899.654,1.282,fix,49.894,18.951,26.311,4.84,13.315,2.488,24.758
Type-F,41.863,6.493,1.006,0.111,45.611,1.57,12.256,73.639,15.19,917.397,1.34,fluid,52.719,25.14,14.075,8.043,13.483,1.376,98.404
Type-L,44.973,6.134,0.184,0.031,44.586,1.109,6.57,77.403,18.425,831.622,0.577,fluid,54.334,19.272,22.21,4.482,1.018,1.521,105.138
Type-V,55.758,6.544,0.814,0.528,32.106,7.463,8.377,79.656,16.567,794.445,0.785,fix,34.734,24.343,25.977,14.923,37.548,0.824,111.79
Type-S,46.696,6.287,0.105,0.0,47.258,0.46,0.0,78.46,14.216,560.668,1.139,fix,8.095,37.404,41.402,12.804,12.947,0.143,105.137
Type-A,34.009,4.683,0.252,0.0,46.013,15.682,9.996,68.636,17.401,713.255,0.565,fluid,54.668,17.881,18.417,9.209,64.873,0.601,170.412
Type-D,41.34,5.158,0.192,0.0,56.68,2.473,10.491,87.198,14.818,727.72,0.478,fluid,48.486,20.668,21.787,9.337,74.237,0.702,198.604
Type-A,36.936,4.68,0.245,0.0,39.596,15.082,9.901,64.415,16.853,656.657,0.583,fluid,43.137,25.337,22.262,9.319,86.185,0.544,227.895
Type-H,46.229,5.377,0.947,0.256,44.251,4.078,9.279,75.845,13.591,657.28,2.057,fluid,81.717,12.432,3.934,1.334,12.581,1.163,28.192
Type-R,47.241,6.633,0.16,0.206,43.931,0.328,5.031,79.487,18.173,792.929,1.317,fluid,42.333,31.012,19.159,7.454,1.439,1.008,194.241
Type-M,52.529,5.94,0.256,0.0,41.657,0.491,11.352,71.754,17.025,865.261,0.44,fluid,44.996,23.191,22.916,9.146,12.473,1.128,117.916
Type-E,39.869,6.51,0.194,0.0,47.793,1.26,8.208,88.188,13.989,697.69,0.654,fluid,58.916,22.579,12.313,6.157,35.821,0.941,141.526
Type-J,42.924,7.34,0.185,0.097,40.983,8.421,0.0,89.852,5.443,688.017,0.778,fix,19.162,22.75,26.682,31.397,11.728,0.427,109.007
Type-J,47.515,7.852,0.187,0.094,35.809,7.7,0.0,79.331,5.33,925.985,1.15,fix,21.748,23.568,26.062,28.644,13.294,0.891,104.681
Type-V,54.647,6.925,0.798,0.488,34.301,6.868,9.399,82.022,14.737,827.78,1.002,fix,35.169,24.141,25.917,14.888,39.383,0.792,101.902
Type-S,49.813,6.578,0.107,0.0,45.104,0.467,0.0,89.294,13.864,687.405,1.064,fix,36.213,31.112,21.939,10.679,12.946,0.548,112.703
Type-P,46.211,5.967,0.388,0.104,45.97,0.273,0.0,78.712,17.433,795.593,0.489,fluid,40.105,30.112,17.639,12.28,12.826,0.944,95.24
Type-O,51.804,6.196,0.041,0.0,47.86,0.548,9.093,85.839,19.509,813.23,1.246,fix,34.467,40.026,14.831,10.594,251.839,0.843,6.3
Type-V,51.78,6.732,0.78,0.519,34.226,6.644,9.158,77.881,14.95,768.081,0.749,fix,48.897,23.142,15.881,11.783,8.276,1.256,103.266
Type-O,51.155,6.155,0.041,0.0,44.416,0.565,8.211,79.818,18.652,839.982,1.504,fix,30.052,39.776,17.992,12.171,247.864,0.734,6.335
Type-N,52.87,5.646,0.253,0.353,41.048,5.336,0.0,80.067,16.313,889.517,1.203,fix,54.643,23.031,20.872,1.347,0.0,1.856,92.121
Type-F,45.483,6.525,0.994,0.109,44.893,1.502,11.785,69.912,14.407,826.329,1.909,fluid,60.139,14.478,17.48,7.991,6.457,1.096,101.164
Type-C,35.509,5.733,0.892,0.084,44.402,13.868,0.0,76.408,9.767,889.715,0.992,fix,44.78,17.462,28.756,8.931,12.252,1.061,102.996
Type-F,44.663,6.002,0.902,0.113,49.082,1.648,12.295,74.211,15.365,767.474,0.861,fluid,63.937,13.009,14.008,9.005,13.477,0.916,96.336
Type-M,47.89,6.913,0.247,0.0,42.314,0.508,10.833,78.368,15.294,817.515,0.921,fluid,47.714,21.174,22.845,8.162,13.773,1.266,102.963
Type-M,49.08,6.877,0.237,0.0,46.29,0.478,11.529,78.33,15.686,831.073,0.601,fluid,44.447,23.384,22.997,9.179,11.066,1.106,112.629
Type-V,52.789,6.583,0.77,0.487,35.216,7.161,8.945,79.076,15.72,770.718,1.242,fix,48.357,24.354,19.846,7.633,0.8,1.246,98.906
Type-P,47.678,6.068,0.425,0.097,44.425,0.242,0.0,80.739,16.534,753.079,0.358,fluid,27.913,41.681,13.689,16.715,12.122,0.972,98.981
Type-Q,52.245,7.209,0.161,0.216,43.275,0.363,5.376,78.242,19.634,910.741,0.602,fluid,54.655,20.608,17.346,7.501,14.788,1.277,105.746
Type-K,46.719,5.501,0.602,0.01,40.385,7.418,0.0,65.486,21.176,850.532,0.793,fix,40.501,24.149,23.74,11.613,12.858,0.688,208.162
Type-F,46.614,6.412,0.987,0.104,46.734,1.648,11.996,70.345,13.989,756.344,0.974,fluid,63.659,13.046,14.041,9.027,12.426,0.981,101.137
Type-J,44.939,7.815,0.195,0.085,37.558,8.245,0.0,80.231,5.443,500.0,0.91,fix,22.41,24.223,25.792,27.554,14.309,0.114,101.144
Type-S,47.421,6.056,0.099,0.0,41.08,0.479,0.0,81.182,12.696,924.781,1.237,fix,43.123,33.693,15.983,7.328,11.967,1.172,103.928
Type-K,45.118,5.735,0.583,0.01,37.727,8.055,0.0,69.598,22.118,871.225,0.591,fix,41.364,24.37,22.012,12.375,13.162,0.756,232.918
Type-I,45.005,6.29,1.163,0.214,33.255,9.826,9.555,65.321,16.389,582.322,1.674,fix,25.803,38.449,19.833,15.912,11.544,1.166,118.574
Type-B,39.56,4.703,0.363,0.0,41.313,15.19,7.444,67.44,17.96,778.284,0.893,fluid,52.516,22.459,18.882,6.124,21.077,1.088,67.668
Type-I,48.062,6.261,1.138,0.219,35.371,8.945,9.885,70.868,15.399,911.668,3.013,fix,48.217,16.507,32.953,2.417,13.07,1.365,104.247
Type-S,51.546,6.038,0.102,0.0,39.48,0.527,0.0,84.56,12.939,500.0,1.373,fix,7.762,38.492,41.089,12.707,13.542,0.14,95.247
Type-V,52.37,6.603,0.838,0.494,31.087,7.215,9.447,73.33,15.936,802.018,1.114,fix,51.554,19.182,21.711,7.574,0.787,1.339,99.023
Type-E,41.884,6.06,0.189,0.0,49.544,1.321,8.523,91.879,14.452,788.402,1.035,fluid,52.991,22.515,17.415,7.171,20.411,1.273,59.483
Type-S,48.57,5.763,0.106,0.0,43.653,0.511,0.0,79.839,13.897,677.325,1.035,fix,36.056,31.201,21.954,10.686,12.405,0.512,96.925
Type-D,41.422,4.988,0.191,0.0,50.284,2.366,11.155,77.341,13.573,655.326,0.589,fluid,46.999,21.099,22.018,9.436,74.787,0.66,184.414
Type-F,42.668,6.923,1.03,0.119,43.697,1.702,12.351,77.875,14.943,825.632,1.325,fluid,60.124,14.979,16.983,7.992,12.542,1.24,103.119
Type-I,43.906,6.424,1.097,0.224,34.857,9.354,9.754,67.37,17.324,600.07,1.769,fix,26.034,38.223,19.832,15.912,13.227,1.089,138.932
Type-M,51.394,6.515,0.238,0.0,45.358,0.482,11.471,83.816,16.709,808.403,0.596,fluid,44.083,23.512,23.052,9.201,12.237,1.14,104.235
Type-V,51.624,6.548,0.824,0.456,36.522,7.353,9.745,73.357,16.345,814.31,1.387,fix,51.792,19.123,21.672,7.56,0.743,1.333,102.199
Type-P,48.625,5.735,0.398,0.1,42.301,0.265,0.0,82.831,16.409,768.436,0.614,fluid,39.685,30.326,17.675,12.306,12.72,0.985,107.544
Type-A,34.422,4.674,0.251,0.0,43.708,16.292,10.206,67.573,16.476,755.731,0.969,fluid,51.535,22.361,18.752,7.095,33.635,0.847,132.707
Type-S,47.902,6.742,0.098,0.0,36.57,0.491,0.0,82.103,11.94,873.314,1.052,fix,42.39,34.081,16.039,7.353,11.914,1.247,109.203
Type-O,51.184,5.778,0.043,0.0,42.127,0.543,9.582,79.449,16.793,807.83,1.238,fix,30.196,44.0,13.441,12.365,380.879,0.707,9.231
Type-R,48.245,6.577,0.162,0.192,43.106,0.346,5.046,73.325,17.336,767.655,0.489,fluid,44.583,26.775,18.632,9.773,2.307,0.921,178.652
Type-F,44.627,6.607,1.136,0.107,41.879,1.413,12.314,68.645,14.495,942.324,1.529,fluid,53.148,25.004,14.034,8.019,12.978,1.494,104.578
Type-C,37.519,5.107,0.893,0.09,45.097,13.311,0.0,78.465,11.081,513.89,1.46,fix,16.789,52.586,21.864,8.653,12.243,0.17,99.736
Type-G,48.173,5.737,9.706,0.0,41.398,1.213,7.22,79.071,19.339,813.214,0.466,fluid,43.492,33.255,11.706,11.506,41.353,1.762,96.71
Type-V,48.407,6.957,0.763,0.515,33.845,6.873,9.511,72.735,14.592,879.012,0.996,fix,59.604,16.387,21.892,2.488,0.178,1.857,100.845
Type-U,52.83,6.1,0.199,0.109,44.884,0.441,8.502,82.367,14.529,748.447,1.303,fluid,26.299,42.123,16.842,14.737,12.091,0.509,101.388
Type-H,47.877,5.394,0.902,0.271,42.235,4.547,8.871,82.972,14.498,684.408,2.093,fluid,84.986,4.263,1.142,9.913,12.791,1.285,24.262
Type-H,49.064,5.509,0.99,0.257,41.307,4.482,8.643,80.874,14.881,660.891,1.979,fluid,84.101,4.292,1.152,9.999,13.198,1.234,22.365
Type-V,51.704,6.599,0.835,0.569,33.395,6.82,10.002,71.362,14.293,767.562,1.844,fix,53.654,17.399,24.493,4.082,0.825,1.479,99.23
Type-Q,49.854,7.027,0.158,0.18,42.253,0.324,5.078,86.134,16.951,698.362,1.049,fluid,50.964,19.009,17.005,13.003,18.741,1.376,108.577
